Puerto Rico,Syrian Arab Republic,"Venezuela, RB",South Sudan,Samoa,Eritrea,Lithuania,Central African Republic,Zimbabwe,Sao Tome and Principe
-0.03737753650336568,-0.003281767198818892,0.002158353118236917,0.0,-0.029384328358208964,0.006597918312924452,0.008631498070441964,0.007687301454336914,-0.0037158338988329625,-0.1419376851377968
-0.05074510313817954,-0.002787111698727161,0.0003050268129186577,0.0,-0.05070168508760816,0.00413037407192585,0.00864341085271318,0.00769477527978074,-0.008787138111902376,-0.010933619410113598
-0.014564171662071178,-0.011985192659975727,7.770075850819174e-05,0.006827914700227233,-0.10125190093417336,0.007221275031647238,0.01175682765427919,-0.0267697193783857,-0.008027443504136741,-0.03219390766546052
-0.0063389333341966995,-0.0200569457868715,8.020406779277475e-05,0.014476829111166125,-0.12386440766459562,0.006282906723966776,0.011569175412722843,-0.0004902155428720454,-0.022685375326967308,-0.013857677902621723
-0.014773667234892459,-0.009071839488262371,8.615537447527162e-05,0.031253685330395214,-0.1187949571715426,0.005444182700238401,0.012670446048642548,0.01712817829405914,0.012448479506966427,-0.06030782222311583
-0.016035562270290685,-0.012895247645159008,5.045870804865755e-05,-0.07679846282405893,-0.12130587394775262,-0.018802099442423743,0.010193379156484949,-0.030224720799141618,0.008854015181580575,-0.019863224917009814
-8.25621949940533e-05,-0.005307991264259635,-0.00011042100415693733,-0.20678256368867,-0.08458517130944468,-0.13942795788086088,-0.02710754317299413,0.01689625295177539,-0.027359840858705402,-0.044944451579758536
-0.008099632125082792,-0.008566543194224095,-0.0001987937249315749,0.05543590639092847,-0.09961759304461026,-0.05921977205503515,-0.026271720496305457,0.008843202937358288,-0.045023608022557164,-0.07031480063607988
-0.03810548994285903,-0.02223694370472832,-0.0009059613692335199,0.0645911187809742,-0.08866428202962467,0.09161011149275833,-0.0287836397026256,-0.0064187739076643395,-0.05837377209353295,-0.05696962298317361
-0.03649039980227307,0.018613304770127195,-0.007348167417252377,0.10181561607087987,-0.08286367181921052,-0.02670049684035166,-0.04670884172099474,-0.029922272695872568,-0.041830879798353815,-0.02039085989176188
-0.06677721868940001,-0.26351841485850513,-0.014679974412216091,-0.009887630050762104,-0.06446204941614486,-0.07569000205839882,-0.048938456837249684,-0.0892903391589831,-0.047502156097411465,-0.044585040657310886
-0.14733529687371252,-0.12520235233157342,-0.1111329549718073,-0.07982927677167098,-0.07173205290961956,-0.058393309367336964,-0.0579486020910033,-0.04351583584782338,-0.04104084184973461,-0.04056709916992211
