,Country Name,Country Code,Indicator Name,Indicator Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
35,Switzerland,CHE,Net migration,SM.POP.NETM,277152.0,92978.0,25185.0,-135365.0,81040.0,130857.0,247406.0,65218.0,186125.0,344872.0,397267.0,259999.0
36,Channel Islands,CHI,Net migration,SM.POP.NETM,2934.0,3880.0,4250.0,1726.0,5380.0,6085.0,1170.0,2291.0,1513.0,5970.0,3570.0,6754.0
37,Chile,CHL,Net migration,SM.POP.NETM,-146900.0,-196500.0,-161260.0,-148300.0,-154520.0,-68650.0,3610.0,19340.0,42330.0,107169.0,163730.0,558539.0
38,China,CHN,Net migration,SM.POP.NETM,-1125727.0,-160002.0,-1105479.0,-47004.0,-200000.0,-431651.0,-779982.0,-382999.0,-1965578.0,-2178385.0,-1552209.0,-1741996.0
39,Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,200706.0,200706.0,393042.0,403322.0,427498.0,319134.0,375000.0,180000.0,-300000.0,-200000.0,-80000.0,-40000.0
40,Cameroon,CMR,Net migration,SM.POP.NETM,0.0,-1000.0,-2500.0,0.0,-16500.0,-19500.0,-48000.0,-48000.0,-54000.0,-54000.0,-36000.0,-24000.0
41,"Congo, Dem. Rep.",COD,Net migration,SM.POP.NETM,122650.0,242939.0,27450.0,100685.0,-450468.0,74515.0,1287106.0,-958174.0,-241564.0,-43426.0,15060.0,119303.0
42,"Congo, Rep.",COG,Net migration,SM.POP.NETM,0.0,0.0,0.0,-7407.0,2098.0,2000.0,22530.0,49302.0,51485.0,91771.0,-60000.0,-20000.0
43,Colombia,COL,Net migration,SM.POP.NETM,-306563.0,-338635.0,-380422.0,-419350.0,-370972.0,-324000.0,-287950.0,-259000.0,-231000.0,-195000.0,-193380.0,1023981.0
44,Comoros,COM,Net migration,SM.POP.NETM,-8491.0,-5500.0,-5500.0,10000.0,-4500.0,-4500.0,-3000.0,-6000.0,-10000.0,-10000.0,-10000.0,-10000.0
45,Cabo Verde,CPV,Net migration,SM.POP.NETM,-1167.0,4267.0,-34907.0,-27982.0,-20313.0,-27757.0,-6376.0,-5438.0,-9859.0,-11341.0,-8029.0,-6709.0
46,Costa Rica,CRI,Net migration,SM.POP.NETM,7905.0,7827.0,12638.0,17425.0,18876.0,17417.0,69202.0,89527.0,41792.0,30339.0,19658.0,21000.0
47,Caribbean small states,CSS,Net migration,SM.POP.NETM,-262832.0,-298610.0,-284690.0,-271073.0,-266114.0,-341887.0,-236400.0,-230119.0,-176783.0,-142453.0,-91451.0,-87055.0
48,Cuba,CUB,Net migration,SM.POP.NETM,-204043.0,-248423.0,-190000.0,-160000.0,-270000.0,-69999.0,-120006.0,-132839.0,-145629.0,-240000.0,-80000.0,-72000.0
49,Curacao,CUW,Net migration,SM.POP.NETM,-7752.0,-4526.0,-5000.0,-13251.0,-8464.0,-14547.0,-11517.0,-17077.0,-6070.0,15363.0,6817.0,2573.0
50,Cayman Islands,CYM,Net migration,SM.POP.NETM,,,,,,,,,,,,
51,Cyprus,CYP,Net migration,SM.POP.NETM,-43025.0,-7843.0,3053.0,-1215.0,-27634.0,17167.0,43195.0,53260.0,57530.0,58658.0,22509.0,25000.0
52,Czech Republic,CZE,Net migration,SM.POP.NETM,24999.0,-129099.0,9999.0,9999.0,-52946.0,5671.0,29999.0,46002.0,47402.0,250889.0,59997.0,110057.0
53,Germany,DEU,Net migration,SM.POP.NETM,669314.0,871265.0,701731.0,228894.0,23.0,1683737.0,2628459.0,715944.0,824445.0,43087.0,1938576.0,2719112.0
54,Djibouti,DJI,Net migration,SM.POP.NETM,18000.0,25000.0,34997.0,91193.0,9999.0,89998.0,-45000.0,9988.0,-8997.0,-12221.0,6002.0,4501.0
55,Dominica,DMA,Net migration,SM.POP.NETM,,,,,,,,,,,,
56,Denmark,DNK,Net migration,SM.POP.NETM,2256.0,21866.0,23256.0,14925.0,9319.0,32839.0,65466.0,74568.0,46306.0,87989.0,106841.0,75998.0
57,Dominican Republic,DOM,Net migration,SM.POP.NETM,-43490.0,-56172.0,-70824.0,-87098.0,-118102.0,-134470.0,-144154.0,-150146.0,-152553.0,-153773.0,-153000.0,-150000.0
58,Algeria,DZA,Net migration,SM.POP.NETM,-282941.0,-121335.0,-253436.0,-224833.0,-81020.0,-93302.0,-128679.0,-164413.0,-205228.0,-357340.0,-143268.0,-50002.0
59,East Asia & Pacific (excluding high income),EAP,Net migration,SM.POP.NETM,-951548.0,-476764.0,-888388.0,-1119832.0,-303942.0,-272668.0,-2770604.0,-974322.0,-5608510.0,-6894219.0,-3768254.0,-3791004.0
60,Early-demographic dividend,EAR,Net migration,SM.POP.NETM,-857830.0,-1886452.0,-3317858.0,-4952237.0,1692818.0,-1530147.0,-7479045.0,-7535702.0,-14255662.0,-13971996.0,-14257384.0,-11460012.0
61,East Asia & Pacific,EAS,Net migration,SM.POP.NETM,-480262.0,1538131.0,18646.0,-722799.0,556267.0,701831.0,-1848218.0,1532.0,-4235381.0,-4415849.0,-1337907.0,-2057249.0
62,Europe & Central Asia (excluding high income),ECA,Net migration,SM.POP.NETM,-83597.0,369327.0,-500692.0,-232895.0,223419.0,-1293566.0,-2663215.0,-2114635.0,73186.0,1364223.0,3054571.0,1880978.0
63,Europe & Central Asia,ECS,Net migration,SM.POP.NETM,1223688.0,437456.0,1533438.0,1241642.0,571631.0,804777.0,1451064.0,274507.0,8256870.0,7925495.0,8361520.0,7894029.0
64,Ecuador,ECU,Net migration,SM.POP.NETM,-9002.0,-5500.0,-5499.0,-7198.0,-14001.0,-16998.0,-19000.0,-69999.0,-120002.0,-44999.0,-38001.0,182000.0
65,"Egypt, Arab Rep.",EGY,Net migration,SM.POP.NETM,-50100.0,-239700.0,-559179.0,-595294.0,-392930.0,-212184.0,-460404.0,-210899.0,-74464.0,-283573.0,-280944.0,-190164.0
